Year,day,home_team_name,away_team_name
2023,1,Rangers,White Sox
2023,1,Nationals,Phillies
2023,1,Athletics,Royals
2023,1,Rays,Cubs
2023,1,Braves,Yankees
2023,1,Rockies,Blue Jays
2023,1,Padres,Dodgers
2023,1,Indians,Giants
2023,1,Brewers,Mariners
2023,1,Pirates,Mets
2023,1,Twins,Orioles
2023,1,Marlins,Cardinals
2023,1,Astros,Diamondbacks
2023,1,Angels,Reds
2023,1,Red Sox,Tigers
2023,2,Braves,Cubs
2023,2,Cardinals,Indians
2023,2,Rangers,Blue Jays
2023,2,Athletics,Giants
2023,2,Red Sox,Astros
2023,2,Brewers,Phillies
2023,2,Dodgers,Yankees
2023,2,Rockies,Rays
2023,2,Royals,Mariners
2023,2,Marlins,Nationals
2023,2,White Sox,Diamondbacks
2023,2,Reds,Angels
2023,2,Orioles,Mets
2023,2,Tigers,Padres
2023,2,Pirates,Twins
2023,3,White Sox,Angels
2023,3,Rangers,Cardinals
2023,3,Braves,Twins
2023,3,Yankees,Athletics
2023,3,Padres,Mets
2023,3,Nationals,Red Sox
2023,3,Astros,Dodgers
2023,3,Royals,Marlins
2023,3,Rockies,Phillies
2023,3,Reds,Rays
2023,3,Brewers,Tigers
2023,3,Blue Jays,Pirates
2023,3,Giants,Diamondbacks
2023,3,Mariners,Cubs
2023,3,Indians,Orioles
2023,4,Giants,Yankees
2023,4,Padres,Athletics
2023,4,Rangers,Cardinals
2023,4,Dodgers,Marlins
2023,4,Mariners,Rockies
2023,4,Pirates,Royals
2023,4,Tigers,Angels
2023,4,Blue Jays,Twins
2023,4,Phillies,White Sox
2023,4,Brewers,Rays
2023,4,Nationals,Cubs
2023,4,Orioles,Red Sox
2023,4,Astros,Braves
2023,4,Mets,Reds
2023,4,Indians,Diamondbacks
2023,5,Padres,Blue Jays
2023,5,Red Sox,Dodgers
2023,5,Rangers,Rockies
2023,5,Braves,Royals
2023,5,Marlins,Rays
2023,5,Phillies,Angels
2023,5,White Sox,Indians
2023,5,Cardinals,Nationals
2023,5,Yankees,Twins
2023,5,Tigers,Brewers
2023,5,Athletics,Mets
2023,5,Giants,Orioles
2023,5,Astros,Cubs
2023,5,Reds,Diamondbacks
2023,5,Mariners,Pirates
2023,6,Indians,Royals
2023,6,Brewers,Diamondbacks
2023,6,Cubs,Rays
2023,6,White Sox,Dodgers
2023,6,Padres,Pirates
2023,6,Angels,Cardinals
2023,6,Phillies,Nationals
2023,6,Mariners,Rangers
2023,6,Tigers,Marlins
2023,6,Mets,Red Sox
2023,6,Reds,Twins
2023,6,Braves,Orioles
2023,6,Yankees,Astros
2023,6,Rockies,Giants
2023,6,Athletics,Blue Jays
2023,7,Cardinals,Rangers
2023,7,Indians,Royals
2023,7,Dodgers,Blue Jays
2023,7,Diamondbacks,Athletics
2023,7,Rays,Nationals
2023,7,Mets,Giants
2023,7,Marlins,Mariners
2023,7,Cubs,Astros
2023,7,Angels,Yankees
2023,7,Twins,Orioles
2023,7,Red Sox,Braves
2023,7,White Sox,Rockies
2023,7,Phillies,Reds
2023,7,Padres,Brewers
2023,7,Tigers,Pirates
2023,8,Phillies,Reds
2023,8,Rockies,Athletics
2023,8,Padres,Angels
2023,8,Rays,Braves
2023,8,Astros,White Sox
2023,8,Tigers,Dodgers
2023,8,Rangers,Mets
2023,8,Mariners,Cardinals
2023,8,Diamondbacks,Nationals
2023,8,Brewers,Marlins
2023,8,Orioles,Cubs
2023,8,Red Sox,Royals
2023,8,Yankees,Twins
2023,8,Blue Jays,Giants
2023,8,Indians,Pirates
2023,9,Orioles,Phillies
2023,9,Brewers,Giants
2023,9,Rays,Mariners
2023,9,Red Sox,Reds
2023,9,Angels,Athletics
2023,9,Mets,Rockies
2023,9,Diamondbacks,Cardinals
2023,9,Twins,Blue Jays
2023,9,Yankees,Nationals
2023,9,Rangers,Padres
2023,9,Astros,Cubs
2023,9,Royals,White Sox
2023,9,Dodgers,Marlins
2023,9,Indians,Braves
2023,9,Pirates,Tigers
2023,10,Yankees,Brewers
2023,10,Tigers,Twins
2023,10,Orioles,Dodgers
2023,10,Phillies,Royals
2023,10,Mariners,Red Sox
2023,10,Astros,Rockies
2023,10,White Sox,Reds
2023,10,Pirates,Braves
2023,10,Angels,Blue Jays
2023,10,Rangers,Rays
2023,10,Giants,Cardinals
2023,10,Padres,Diamondbacks
2023,10,Athletics,Nationals
2023,10,Indians,Cubs
2023,10,Mets,Marlins
2023,11,Rockies,Rays
2023,11,Braves,Red Sox
2023,11,Reds,White Sox
2023,11,Angels,Athletics
2023,11,Blue Jays,Cardinals
2023,11,Orioles,Twins
2023,11,Mariners,Tigers
2023,11,Giants,Phillies
2023,11,Yankees,Marlins
2023,11,Astros,Diamondbacks
2023,11,Rangers,Nationals
2023,11,Cubs,Mets
2023,11,Indians,Dodgers
2023,11,Brewers,Royals
2023,11,Padres,Pirates
2023,12,Twins,Orioles
2023,12,Yankees,Rangers
2023,12,Mariners,Reds
2023,12,Giants,Angels
2023,12,Dodgers,Rockies
2023,12,Athletics,White Sox
2023,12,Mets,Brewers
2023,12,Indians,Royals
2023,12,Tigers,Cardinals
2023,12,Nationals,Padres
2023,12,Phillies,Rays
2023,12,Red Sox,Cubs
2023,12,Marlins,Blue Jays
2023,12,Braves,Diamondbacks
2023,12,Pirates,Astros
2023,13,Cardinals,Phillies
2023,13,Padres,Brewers
2023,13,Pirates,Diamondbacks
2023,13,Giants,Twins
2023,13,Tigers,Dodgers
2023,13,Mets,Rays
2023,13,Rockies,Red Sox
2023,13,Cubs,Rangers
2023,13,Athletics,Marlins
2023,13,Yankees,Indians
2023,13,Orioles,White Sox
2023,13,Blue Jays,Braves
2023,13,Nationals,Royals
2023,13,Angels,Astros
2023,13,Reds,Mariners
2023,14,Angels,Diamondbacks
2023,14,Blue Jays,Padres
2023,14,Nationals,Mets
2023,14,Braves,Rockies
2023,14,Mariners,Phillies
2023,14,Dodgers,Rangers
2023,14,Yankees,Cardinals
2023,14,White Sox,Tigers
2023,14,Twins,Giants
2023,14,Brewers,Marlins
2023,14,Indians,Reds
2023,14,Royals,Red Sox
2023,14,Cubs,Pirates
2023,14,Athletics,Astros
2023,14,Orioles,Rays
2023,15,Nationals,Cardinals
2023,15,Indians,Tigers
2023,15,Cubs,Marlins
2023,15,Reds,Giants
2023,15,Mariners,Rays
2023,15,Braves,Phillies
2023,15,Dodgers,Rangers
2023,15,Twins,Red Sox
2023,15,Blue Jays,Royals
2023,15,White Sox,Mets
2023,15,Rockies,Brewers
2023,15,Angels,Athletics
2023,15,Diamondbacks,Padres
2023,15,Pirates,Yankees
2023,15,Orioles,Astros
2023,16,Twins,White Sox
2023,16,Mariners,Yankees
2023,16,Tigers,Reds
2023,16,Diamondbacks,Giants
2023,16,Red Sox,Athletics
2023,16,Angels,Blue Jays
2023,16,Royals,Braves
2023,16,Padres,Orioles
2023,16,Indians,Rangers
2023,16,Cubs,Phillies
2023,16,Dodgers,Cardinals
2023,16,Nationals,Rays
2023,16,Astros,Pirates
2023,16,Mets,Marlins
2023,16,Rockies,Brewers
2023,17,Rangers,Athletics
2023,17,Indians,Orioles
2023,17,Twins,Giants
2023,17,Rockies,Cardinals
2023,17,Reds,Braves
2023,17,Padres,Marlins
2023,17,Phillies,Diamondbacks
2023,17,Rays,White Sox
2023,17,Mariners,Red Sox
2023,17,Blue Jays,Dodgers
2023,17,Nationals,Angels
2023,17,Mets,Pirates
2023,17,Astros,Royals
2023,17,Yankees,Cubs
2023,17,Brewers,Tigers
2023,18,Mariners,Rangers
2023,18,Mets,Padres
2023,18,Astros,Braves
2023,18,Royals,Cubs
2023,18,Nationals,Cardinals
2023,18,Twins,Indians
2023,18,Brewers,Dodgers
2023,18,Pirates,Yankees
2023,18,Blue Jays,Phillies
2023,18,Angels,Giants
2023,18,Marlins,Red Sox
2023,18,Reds,Tigers
2023,18,Rockies,Rays
2023,18,White Sox,Diamondbacks
2023,18,Athletics,Orioles
2023,19,Braves,Rockies
2023,19,Cardinals,Tigers
2023,19,Mets,Padres
2023,19,Twins,Red Sox
2023,19,Cubs,Royals
2023,19,Nationals,Rangers
2023,19,Mariners,Pirates
2023,19,Rays,Marlins
2023,19,Angels,Phillies
2023,19,Brewers,Astros
2023,19,White Sox,Diamondbacks
2023,19,Athletics,Reds
2023,19,Giants,Dodgers
2023,19,Yankees,Blue Jays
2023,19,Orioles,Indians
2023,20,Royals,Phillies
2023,20,Nationals,Pirates
2023,20,Orioles,Cardinals
2023,20,Dodgers,Astros
2023,20,Giants,Rays
2023,20,Athletics,Marlins
2023,20,Diamondbacks,Twins
2023,20,Rockies,Brewers
2023,20,Mets,Tigers
2023,20,Indians,Rangers
2023,20,Red Sox,Braves
2023,20,Angels,Cubs
2023,20,Reds,Yankees
2023,20,Mariners,Padres
2023,20,Blue Jays,White Sox
2023,21,Pirates,Nationals
2023,21,Twins,Yankees
2023,21,Braves,Rangers
2023,21,Blue Jays,Dodgers
2023,21,Angels,Mets
2023,21,Astros,Reds
2023,21,White Sox,Orioles
2023,21,Athletics,Mariners
2023,21,Diamondbacks,Red Sox
2023,21,Rockies,Rays
2023,21,Tigers,Cardinals
2023,21,Marlins,Phillies
2023,21,Giants,Cubs
2023,21,Indians,Royals
2023,21,Padres,Brewers
2023,22,White Sox,Red Sox
2023,22,Giants,Pirates
2023,22,Brewers,Twins
2023,22,Orioles,Cubs
2023,22,Nationals,Marlins
2023,22,Cardinals,Tigers
2023,22,Athletics,Rangers
2023,22,Diamondbacks,Blue Jays
2023,22,Astros,Dodgers
2023,22,Rockies,Reds
2023,22,Rays,Indians
2023,22,Royals,Mets
2023,22,Mariners,Braves
2023,22,Yankees,Padres
2023,22,Angels,Phillies
2023,23,Rays,Cardinals
2023,23,Red Sox,Brewers
2023,23,Astros,Padres
2023,23,Tigers,Phillies
2023,23,Orioles,Marlins
2023,23,Twins,Braves
2023,23,Royals,Indians
2023,23,Reds,Athletics
2023,23,Dodgers,Angels
2023,23,Nationals,Rockies
2023,23,Pirates,Blue Jays
2023,23,Mariners,Mets
2023,23,Giants,Diamondbacks
2023,23,Yankees,Cubs
2023,23,Rangers,White Sox
2023,24,Rays,Phillies
2023,24,Rangers,Marlins
2023,24,Athletics,Astros
2023,24,Twins,Royals
2023,24,Cardinals,Giants
2023,24,Red Sox,Rockies
2023,24,Indians,Diamondbacks
2023,24,Mets,Tigers
2023,24,Cubs,Orioles
2023,24,Braves,Angels
2023,24,Nationals,Pirates
2023,24,White Sox,Brewers
2023,24,Mariners,Yankees
2023,24,Reds,Padres
2023,24,Blue Jays,Dodgers
2023,25,Giants,Mets
2023,25,Marlins,Rays
2023,25,Red Sox,Tigers
2023,25,Diamondbacks,Blue Jays
2023,25,Twins,Brewers
2023,25,Dodgers,Padres
2023,25,Cardinals,Indians
2023,25,Phillies,Reds
2023,25,Pirates,Cubs
2023,25,Mariners,White Sox
2023,25,Athletics,Yankees
2023,25,Nationals,Angels
2023,25,Rangers,Rockies
2023,25,Orioles,Astros
2023,25,Braves,Royals
2023,26,Rangers,Twins
2023,26,Reds,Royals
2023,26,Athletics,Cubs
2023,26,Dodgers,Indians
2023,26,Marlins,Angels
2023,26,Rays,Rockies
2023,26,Blue Jays,Mariners
2023,26,Yankees,Red Sox
2023,26,Mets,Braves
2023,26,Giants,Cardinals
2023,26,Orioles,Diamondbacks
2023,26,Tigers,White Sox
2023,26,Astros,Nationals
2023,26,Pirates,Brewers
2023,26,Padres,Phillies
2023,27,Astros,Red Sox
2023,27,Athletics,Giants
2023,27,Cardinals,Rangers
2023,27,Reds,Cubs
2023,27,Braves,Diamondbacks
2023,27,Marlins,Orioles
2023,27,Rays,Padres
2023,27,Blue Jays,White Sox
2023,27,Yankees,Angels
2023,27,Tigers,Mariners
2023,27,Phillies,Brewers
2023,27,Royals,Dodgers
2023,27,Pirates,Nationals
2023,27,Rockies,Mets
2023,27,Twins,Indians
2023,28,Royals,Orioles
2023,28,Brewers,White Sox
2023,28,Tigers,Giants
2023,28,Nationals,Red Sox
2023,28,Blue Jays,Astros
2023,28,Mariners,Yankees
2023,28,Braves,Rangers
2023,28,Phillies,Indians
2023,28,Cubs,Twins
2023,28,Rays,Pirates
2023,28,Diamondbacks,Cardinals
2023,28,Dodgers,Athletics
2023,28,Padres,Angels
2023,28,Reds,Mets
2023,28,Rockies,Marlins
2023,29,Orioles,Twins
2023,29,Rangers,Dodgers
2023,29,Cubs,Astros
2023,29,Athletics,Phillies
2023,29,Mets,Red Sox
2023,29,Giants,Yankees
2023,29,Rays,Angels
2023,29,Blue Jays,Pirates
2023,29,Braves,Rockies
2023,29,White Sox,Mariners
2023,29,Tigers,Royals
2023,29,Indians,Nationals
2023,29,Diamondbacks,Cardinals
2023,29,Brewers,Reds
2023,29,Padres,Marlins
2023,30,Indians,Rays
2023,30,Twins,Rockies
2023,30,Dodgers,Padres
2023,30,Blue Jays,Athletics
2023,30,Cubs,Nationals
2023,30,Yankees,White Sox
2023,30,Marlins,Pirates
2023,30,Cardinals,Reds
2023,30,Giants,Orioles
2023,30,Rangers,Mets
2023,30,Red Sox,Brewers
2023,30,Diamondbacks,Royals
2023,30,Phillies,Angels
2023,30,Mariners,Braves
2023,30,Tigers,Astros
2023,31,Athletics,Rangers
2023,31,Nationals,Marlins
2023,31,Royals,Mariners
2023,31,Dodgers,Pirates
2023,31,Brewers,Yankees
2023,31,Cubs,Phillies
2023,31,Angels,Twins
2023,31,Rockies,Red Sox
2023,31,Blue Jays,Orioles
2023,31,Astros,Diamondbacks
2023,31,Padres,Reds
2023,31,Cardinals,White Sox
2023,31,Rays,Indians
2023,31,Braves,Giants
2023,31,Tigers,Mets
2023,32,White Sox,Rockies
2023,32,Phillies,Nationals
2023,32,Padres,Giants
2023,32,Marlins,Yankees
2023,32,Brewers,Astros
2023,32,Mets,Reds
