Year,day,home_team_name,away_team_name
2019,1,Blue Jays,Phillies
2019,1,Mets,Indians
2019,1,Orioles,Reds
2019,1,Rays,Angels
2019,1,Marlins,Dodgers
2019,1,Yankees,Twins
2019,1,Mariners,Tigers
2019,1,White Sox,Braves
2019,1,Padres,Brewers
2019,1,Giants,Red Sox
2019,1,Athletics,Cardinals
2019,1,Diamondbacks,Astros
2019,1,Rockies,Cubs
2019,1,Royals,Nationals
2019,1,Rangers,Pirates
2019,2,Phillies,Cardinals
2019,2,Royals,Marlins
2019,2,Red Sox,White Sox
2019,2,Rangers,Indians
2019,2,Nationals,Twins
2019,2,Mariners,Braves
2019,2,Orioles,Dodgers
2019,2,Tigers,Brewers
2019,2,Cubs,Pirates
2019,2,Giants,Rays
2019,2,Angels,Rockies
2019,2,Diamondbacks,Reds
2019,2,Yankees,Athletics
2019,2,Blue Jays,Astros
2019,2,Padres,Mets
2019,3,Mets,White Sox
2019,3,Indians,Phillies
2019,3,Twins,Mariners
2019,3,Rangers,Blue Jays
2019,3,Giants,Tigers
2019,3,Red Sox,Brewers
2019,3,Yankees,Diamondbacks
2019,3,Rockies,Cubs
2019,3,Orioles,Dodgers
2019,3,Rays,Padres
2019,3,Royals,Astros
2019,3,Angels,Pirates
2019,3,Marlins,Reds
2019,3,Cardinals,Athletics
2019,3,Braves,Nationals
2019,4,Athletics,White Sox
2019,4,Angels,Rays
2019,4,Marlins,Phillies
2019,4,Mets,Rockies
2019,4,Rangers,Pirates
2019,4,Astros,Royals
2019,4,Twins,Tigers
2019,4,Blue Jays,Reds
2019,4,Dodgers,Orioles
2019,4,Cubs,Brewers
2019,4,Giants,Mariners
2019,4,Braves,Red Sox
2019,4,Diamondbacks,Nationals
2019,4,Indians,Cardinals
2019,4,Padres,Yankees
2019,5,Cardinals,Angels
2019,5,Twins,Blue Jays
2019,5,Yankees,Indians
2019,5,Reds,Brewers
2019,5,Mariners,Pirates
2019,5,Diamondbacks,Rays
2019,5,Rangers,Athletics
2019,5,Marlins,Rockies
2019,5,Astros,Tigers
2019,5,Mets,Braves
2019,5,Red Sox,Padres
2019,5,Royals,Cubs
2019,5,Giants,Nationals
2019,5,Dodgers,Phillies
2019,5,White Sox,Orioles
2019,6,Cardinals,Orioles
2019,6,Reds,Brewers
2019,6,Phillies,Giants
2019,6,Red Sox,Rockies
2019,6,Rays,Nationals
2019,6,Braves,Twins
2019,6,Athletics,Pirates
2019,6,Mets,Rangers
2019,6,Diamondbacks,Padres
2019,6,Indians,Tigers
2019,6,White Sox,Mariners
2019,6,Royals,Angels
2019,6,Astros,Cubs
2019,6,Yankees,Marlins
2019,6,Blue Jays,Dodgers
2019,7,Brewers,Pirates
2019,7,Tigers,Rays
2019,7,Mariners,Red Sox
2019,7,Marlins,Rangers
2019,7,Royals,White Sox
2019,7,Diamondbacks,Phillies
2019,7,Cubs,Cardinals
2019,7,Dodgers,Indians
2019,7,Reds,Twins
2019,7,Nationals,Rockies
2019,7,Padres,Mets
2019,7,Angels,Athletics
2019,7,Yankees,Astros
2019,7,Blue Jays,Giants
